File	Testcase	Tasks	Comment
PIC32MX-FreeRTOS/Curiosity-Idle.elf 	Occurrence	Tsk1	Task1 has been scheduled
PIC32MX-FreeRTOS/Curiosity-Task2.elf	Occurrence	Tsk2	Task2 has been scheduled
PIC32MX-FreeRTOS/Curiosity-Task3.elf	Preemption	Tsk1 -> Tsk3 || Tsk2 -> Tsk3	Task1/2 pre-empted by task3 when a character received on UART
PIC32MX-FreeRTOS/Curiosity-Task4.elf	Occurrence	Tsk4	Task4 has been executed once
PIC32MX-FreeRTOS/Curiosity-Task3-Task4.elf	Preemption	Tsk3 -> Tsk4    	Task3 pre-empted by task4 when switch is pressed
PIC32MZ-FreeRTOS/StarterKit-Idle.elf	Occurrence	Tsk1	Task1 has been scheduled
PIC32MZ-FreeRTOS/StarterKit-Task2.elf	Occurrence	Tsk2	Task2 has been scheduled
PIC32MZ-FreeRTOS/StarterKit-Task3.elf	Preemption	Tsk1 -> Tsk3 || Tsk2 -> Tsk3    	Task1/2 pre-empted by task3 when a character received on UART
PIC32MZ-FreeRTOS/StarterKit-Task4.elf	Occurrence	Tsk4	Task4 has been executed once
PIC32MZ-FreeRTOS/StarterKit-Task3-Task4.elf 	Preemption	Tsk3 -> Tsk4    	Task3 pre-empted by task4 when switch is pressed
